file_name,algorithm,trial_number,architecture,learning_rate,batch_size,dropout_rate,optimizer,epochs,freeze_base,optimized_parameter,optimization_type,num_optimized_factors,optimized_factors,train_accuracy,train_precision,train_recall,train_f1_score,train_auc,train_cm_tn,train_cm_fp,train_cm_fn,train_cm_tp,val_accuracy,val_precision,val_recall,val_f1_score,val_auc,val_cm_tn,val_cm_fp,val_cm_fn,val_cm_tp,test_accuracy,test_precision,test_recall,test_f1_score,test_auc,test_cm_tn,test_cm_fp,test_cm_fn,test_cm_tp,min_train_loss,min_val_loss,max_train_f1,max_val_f1,max_train_accuracy,max_val_accuracy,training_time,final_epoch,input_shape,num_classes,history_loss_final,history_loss_best,history_loss_mean,history_loss_std,history_val_loss_final,history_val_loss_best,history_val_loss_mean,history_val_loss_std,history_f1_score_metric_final,history_f1_score_metric_best,history_f1_score_metric_mean,history_f1_score_metric_std,history_val_f1_score_metric_final,history_val_f1_score_metric_best,history_val_f1_score_metric_mean,history_val_f1_score_metric_std,history_accuracy_final,history_accuracy_best,history_accuracy_mean,history_accuracy_std,history_val_accuracy_final,history_val_accuracy_best,history_val_accuracy_mean,history_val_accuracy_std
experiment_trial_000_inceptionv3_optimizer_sgd_bs64_lr1e-03_drop0.20_ep20_20250726_113318.json,Grid_Search,0,inceptionv3,0.001,64,0.2,sgd,20,True,optimizer,single_factor,1,optimizer,0.9142857142857143,0.9420731707317073,0.8828571428571429,0.911504424778761,0.9751827664399093,1986,114,246,1854,0.9111111111111111,0.9383886255924171,0.88,0.908256880733945,0.9639506172839506,424,26,54,396,0.9077777777777778,0.9277389277389277,0.8844444444444445,0.9055745164960182,0.9650320987654321,419,31,52,398,0.2228989601135254,0.23871590197086334,0.49468618631362915,0.5081034302711487,0.9109523892402649,0.9111111164093018,1052.763141,20,"[224, 224, 3]",2,0.2228989601135254,0.2228989601135254,0.26022596284747124,0.04952227102808458,0.23871590197086334,0.23871590197086334,0.26070558503270147,0.025652019624236577,0.49468618631362915,0.49468618631362915,0.49162122011184695,0.0014135788577740844,0.48405829071998596,0.5081034302711487,0.4905313402414322,0.007368068867844475,0.9109523892402649,0.9109523892402649,0.8927976220846177,0.025864180706395377,0.9111111164093018,0.9111111164093018,0.8968888908624649,0.013678865772257914
experiment_trial_001_inceptionv3_optimizer_adam_bs64_lr1e-03_drop0.20_ep20_20250726_115148.json,Grid_Search,1,inceptionv3,0.001,64,0.2,adam,20,True,optimizer,single_factor,1,optimizer,0.9280952380952381,0.9067873303167421,0.9542857142857143,0.9299303944315546,0.9822773242630385,1894,206,96,2004,0.91,0.896774193548387,0.9266666666666666,0.9114754098360656,0.9674074074074073,402,48,33,417,0.9111111111111111,0.890295358649789,0.9377777777777778,0.9134199134199134,0.9677679012345679,398,52,28,422,0.1962583214044571,0.22386369109153748,0.4959500730037689,0.5084162354469299,0.9233333468437195,0.9133333563804626,1027.282707,20,"[224, 224, 3]",2,0.2027931958436966,0.1962583214044571,0.2314218573272228,0.05132182306572205,0.23838111758232117,0.22386369109153748,0.24250876531004906,0.020628086380777552,0.4940764009952545,0.4959500730037689,0.49222288429737093,0.003411664033892958,0.5069774389266968,0.5084162354469299,0.4908494293689728,0.008122386422128536,0.916190505027771,0.9233333468437195,0.9051547557115555,0.02485003365863832,0.9100000262260437,0.9133333563804626,0.9056666761636734,0.008712841676118044
experiment_trial_000_vgg16_epochs_adam_bs64_lr1e-03_drop0.20_ep30_20250726_120409.json,Grid_Search,0,vgg16,0.001,64,0.2,adam,30,True,epochs,single_factor,1,epochs,0.8730952380952381,0.8816366293229421,0.861904761904762,0.8716590416566338,0.9412634920634921,1857,243,290,1810,0.8644444444444445,0.8761467889908257,0.8488888888888889,0.8623024830699774,0.9288641975308641,396,54,68,382,0.8622222222222222,0.8558951965065502,0.8711111111111111,0.8634361233480176,0.9263407407407408,384,66,58,392,0.3463912606239319,0.341959148645401,0.4990274906158447,0.5091345906257629,0.8635714054107666,0.8644444346427917,1663.13858,30,"[224, 224, 3]",2,0.3474348485469818,0.3463912606239319,0.41057607928911843,0.07468345257918313,0.341959148645401,0.341959148645401,0.40022620757420857,0.0626674586563831,0.49891847372055054,0.4990274906158447,0.49403231938680015,0.008170651060779502,0.49212947487831116,0.5091345906257629,0.49418669839700063,0.0063469265198422675,0.8616666793823242,0.8635714054107666,0.8326825420061748,0.046849089445354014,0.8644444346427917,0.8644444346427917,0.8452592571576436,0.014472714341990772
experiment_trial_001_vgg16_epochs_adam_bs64_lr1e-03_drop0.20_ep10_20250726_121432.json,Grid_Search,1,vgg16,0.001,64,0.2,adam,10,True,epochs,single_factor,1,epochs,0.8407142857142857,0.8464891041162228,0.8323809523809523,0.83937575030012,0.9156324263038548,1783,317,352,1748,0.8355555555555556,0.8416289592760181,0.8266666666666667,0.8340807174887892,0.9080839506172839,380,70,78,372,0.8311111111111111,0.8281938325991189,0.8355555555555556,0.831858407079646,0.9018074074074074,372,78,74,376,0.41565582156181335,0.4041004478931427,0.4962502717971802,0.5468103289604187,0.836904764175415,0.8355555534362793,550.151559,10,"[224, 224, 3]",2,0.41565582156181335,0.41565582156181335,0.48958452343940734,0.07211730108440206,0.4041004478931427,0.4041004478931427,0.4679564476013184,0.060290595522744496,0.4962502717971802,0.4962502717971802,0.48766644299030304,0.01377750458880381,0.49508699774742126,0.5468103289604187,0.49773772358894347,0.017195145643768818,0.836904764175415,0.836904764175415,0.7983571469783783,0.05278001612750685,0.8355555534362793,0.8355555534362793,0.8248888909816742,0.008566364658198135
experiment_trial_002_vgg16_epochs_adam_bs64_lr1e-03_drop0.20_ep20_20250726_123349.json,Grid_Search,2,vgg16,0.001,64,0.2,adam,20,True,epochs,single_factor,1,epochs,0.8592857142857143,0.869309838472834,0.8457142857142858,0.8573497465604635,0.931017006802721,1833,267,324,1776,0.8511111111111112,0.8623853211009175,0.8355555555555556,0.8487584650112867,0.9202814814814815,390,60,74,376,0.8511111111111112,0.8449781659388647,0.86,0.8524229074889869,0.9167012345679013,379,71,63,387,0.3712534010410309,0.36634036898612976,0.4986426532268524,0.5061154961585999,0.8492857217788696,0.852222204208374,1084.605066,20,"[224, 224, 3]",2,0.3712534010410309,0.3712534010410309,0.45203234553337096,0.08740970536750577,0.36634036898612976,0.36634036898612976,0.4350862666964531,0.07060957609615338,0.4968724250793457,0.4986426532268524,0.48941695094108584,0.024127218001679312,0.4920373558998108,0.5061154961585999,0.4906461849808693,0.009389184077258665,0.8492857217788696,0.8492857217788696,0.8059404730796814,0.07117137644838505,0.851111114025116,0.852222204208374,0.835722216963768,0.013422275096464532
experiment_trial_003_vgg16_epochs_adam_bs64_lr1e-03_drop0.20_ep40_20250726_131217.json,Grid_Search,3,vgg16,0.001,64,0.2,adam,40,True,epochs,single_factor,1,epochs,0.8757142857142857,0.8592896174863388,0.8985714285714286,0.8784916201117319,0.946398866213152,1791,309,213,1887,0.87,0.8580645161290322,0.8866666666666667,0.8721311475409836,0.9335753086419754,384,66,51,399,0.87,0.8404907975460123,0.9133333333333333,0.8753993610223643,0.9319358024691359,372,78,39,411,0.3267682194709778,0.3306680917739868,0.5000379681587219,0.5070638060569763,0.8714285492897034,0.8700000047683716,2234.991599,40,"[224, 224, 3]",2,0.3267682194709778,0.3267682194709778,0.3951558142900467,0.07714439007898904,0.3335449993610382,0.3306680917739868,0.38589781895279884,0.06452534521890908,0.49510326981544495,0.5000379681587219,0.4932353787124157,0.015400153425717286,0.5070638060569763,0.5070638060569763,0.49312997087836263,0.007328085646432504,0.8714285492897034,0.8714285492897034,0.8378571420907974,0.04860456072014026,0.8700000047683716,0.8700000047683716,0.8507222205400466,0.015694917715920062
experiment_trial_004_vgg16_epochs_adam_bs64_lr1e-03_drop0.20_ep50_20250726_135842.json,Grid_Search,4,vgg16,0.001,64,0.2,adam,50,True,epochs,single_factor,1,epochs,0.8828571428571429,0.8857965451055663,0.8790476190476191,0.8824091778202677,0.9493664399092971,1862,238,254,1846,0.8711111111111111,0.8761261261261262,0.8644444444444445,0.8702460850111857,0.9360197530864198,395,55,61,389,0.8755555555555555,0.8626609442060086,0.8933333333333333,0.8777292576419213,0.9355209876543209,386,64,48,402,0.3207775056362152,0.32156455516815186,0.5021156072616577,0.504591166973114,0.8742856979370117,0.8733333349227905,2709.411611,50,"[224, 224, 3]",2,0.32362261414527893,0.3207775056362152,0.3810779321193695,0.07194718360081497,0.32156455516815186,0.32156455516815186,0.3737543678283691,0.05987294008474091,0.4979470670223236,0.5021156072616577,0.49570254564285277,0.008514019507860055,0.49647456407546997,0.504591166973114,0.4950312304496765,0.0050283503903154865,0.8669047355651855,0.8742856979370117,0.8441380953788757,0.04449683193510229,0.8711110949516296,0.8733333349227905,0.8542666625976563,0.01764304903473692
experiment_trial_000_mobilenetv2_all_adam_bs64_lr1e-03_drop0.20_ep10_20250726_140232.json,Grid_Search,0,mobilenetv2,0.001,64,0.2,adam,10,True,EPOCHS-DROPOUT_RATE,multi_factor,2,"EPOCHS, DROPOUT_RATE",0.9221428571428572,0.9326500732064422,0.91,0.9211858279103399,0.9760072562358277,1962,138,189,1911,0.9144444444444444,0.9327146171693735,0.8933333333333333,0.9125993189557321,0.9645086419753087,421,29,48,402,0.91,0.9054945054945055,0.9155555555555556,0.9104972375690608,0.9677827160493827,407,43,38,412,0.21316449344158173,0.2383723258972168,0.4956890940666199,0.5060516595840454,0.9171428680419922,0.9155555367469788,477.174676,10,"[224, 224, 3]",2,0.21316449344158173,0.21316449344158173,0.254208841919899,0.052250875411909176,0.2383723258972168,0.2383723258972168,0.2552573084831238,0.01905854651321341,0.4941924810409546,0.4956890940666199,0.4935811281204224,0.0013192580492431838,0.48927438259124756,0.5060516595840454,0.49265567064285276,0.006143771925985349,0.9171428680419922,0.9171428680419922,0.8960952401161194,0.028669913981984752,0.9144444465637207,0.9155555367469788,0.902999997138977,0.012717734832761786
experiment_trial_000_vgg16_all_adam_bs64_lr1e-03_drop0.20_ep10_20250725_171603.json,Grid_Search,0,vgg16,0.001,64,0.2,adam,10,True,EPOCHS-DROPOUT_RATE,multi_factor,2,"EPOCHS, DROPOUT_RATE",0.8404761904761905,0.8427612655800575,0.8371428571428572,0.8399426660296225,0.9155993197278911,1772,328,342,1758,0.8433333333333334,0.8456375838926175,0.84,0.842809364548495,0.907520987654321,381,69,72,378,0.8322222222222222,0.824295010845987,0.8444444444444444,0.8342480790340285,0.902,369,81,70,380,0.41388899087905884,0.4056210219860077,0.4950958490371704,0.5091345906257629,0.8342857360839844,0.8433333039283752,576.670191,10,"[224, 224, 3]",2,0.41388899087905884,0.41388899087905884,0.49331938326358793,0.07580621657421675,0.4056210219860077,0.4056210219860077,0.4711084276437759,0.060401140451362814,0.49191516637802124,0.4950958490371704,0.4875176280736923,0.011434191028840444,0.4977922737598419,0.5091345906257629,0.492415252327919,0.009120732670318628,0.8342857360839844,0.8342857360839844,0.7921428561210633,0.06300280406997748,0.8433333039283752,0.8433333039283752,0.8278888881206512,0.009818722807375327
experiment_trial_001_mobilenetv2_all_adam_bs64_lr1e-03_drop0.10_ep30_20250726_142639.json,Grid_Search,1,mobilenetv2,0.001,64,0.1,adam,30,True,EPOCHS-DROPOUT_RATE,multi_factor,2,"EPOCHS, DROPOUT_RATE",0.9404761904761905,0.9477250726040658,0.9323809523809524,0.9399903984637542,0.9851088435374149,1992,108,142,1958,0.9155555555555556,0.9288990825688074,0.9,0.9142212189616253,0.9664592592592594,419,31,45,405,0.9177777777777778,0.9196428571428571,0.9155555555555556,0.9175946547884187,0.9693185185185186,414,36,38,412,0.16892220079898834,0.23200513422489166,0.49668335914611816,0.5040816068649292,0.9366666674613953,0.9188888669013977,1378.782044,30,"[224, 224, 3]",2,0.16892220079898834,0.16892220079898834,0.20410588483015696,0.04451251786133498,0.2327755093574524,0.23200513422489166,0.2425744007031123,0.013575558191467203,0.49377405643463135,0.49668335914611816,0.49445223311583203,0.002219549168612644,0.49200183153152466,0.5040816068649292,0.49164270559946693,0.0061339226252662225,0.9347618818283081,0.9366666674613953,0.9196825424830118,0.02266806109555751,0.9155555367469788,0.9188888669013977,0.9098148127396901,0.00941972266579099
